아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,BP01-009,3.00,1.0,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,BP01-023,3.00,1.0,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,BP03-014,3.00,1.0,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,BP12-007,3.00,1.0,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,BP13-003,3.00,1.0,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,BP13-018,3.00,1.0,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,BP16-015,3.00,1.0,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,EBD01-003,3.00,1.0,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,EBD01-009,3.00,1.0,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,EBD01-014,3.00,1.0,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,BP01-015,2.00,0.666667,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,BP16-001,2.00,0.666667,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,EBD01-007,2.00,0.666667,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,EBD01-008,2.00,0.666667,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,BP13-012,1.00,0.333333,100.00%
6,エルフプリンセスメイジ / フェアリーサークル / ティートル・ディ＆ダム / 重なり合う決意 / 瘴気の妖精姫・アリア,EBD01-013,1.00,0.333333,100.00%
