아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP05-109,3.00,1.0,100.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP10-005,3.00,1.0,100.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP11-003,3.00,1.0,100.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP13-001,3.00,1.0,100.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP17-001,3.00,1.0,100.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP04-010,2.75,0.916667,100.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,ECP02-004,2.50,0.833333,100.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,CP02-006,2.25,0.75,100.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,SP01-045,2.25,0.75,75.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,CP04-001,1.75,0.583333,75.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP13-008,1.50,0.5,100.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP11-105,1.50,0.5,50.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP11-115,1.25,0.416667,50.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP04-007,1.00,0.333333,50.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP11-113,1.00,0.333333,50.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP13-015,1.00,0.333333,50.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP16-118,1.00,0.333333,50.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP18-007,1.00,0.333333,50.00%
3,爆砕の傭兵・フィーナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 宿命の狐火・セッカ / 深緑の弓使い・アリサ,BP18-019,0.75,0.25,50.00%
