아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP01-140,3.00,1.0,100.00%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP15-094,3.00,1.0,100.00%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP15-101,3.00,1.0,100.00%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP01-131,2.89,0.962963,100.00%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP08-092,2.67,0.888889,88.89%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP15-113,2.67,0.888889,88.89%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP17-109,2.33,0.777778,77.78%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP01-139,1.89,0.62963,66.67%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP18-115,1.89,0.62963,66.67%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP14-098,1.67,0.555556,77.78%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP16-094,1.67,0.555556,66.67%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP17-091,1.44,0.481481,66.67%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP10-109,1.33,0.444444,77.78%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP15-111,1.22,0.407407,44.44%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP08-087,1.00,0.333333,44.44%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP18-107,0.89,0.296296,33.33%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP14-110,0.67,0.222222,22.22%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP16-117,0.67,0.222222,22.22%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,CP01-070,0.67,0.222222,22.22%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP05-092,0.56,0.185185,55.56%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP11-092,0.56,0.185185,55.56%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP16-100,0.56,0.185185,55.56%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,CP02-096,0.44,0.148148,33.33%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP04-115,0.44,0.148148,22.22%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP06-099,0.44,0.148148,22.22%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP10-108,0.44,0.148148,22.22%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP05-086,0.33,0.111111,11.11%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,CP04-102,0.33,0.111111,11.11%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP01-133,0.22,0.074074,11.11%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP11-101,0.22,0.074074,11.11%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP13-111,0.22,0.074074,11.11%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP16-099,0.22,0.074074,11.11%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP04-099,0.11,0.037037,11.11%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP04-104,0.11,0.037037,11.11%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP09-092,0.11,0.037037,11.11%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP09-102,0.11,0.037037,11.11%
2,ダークオファリング / 絶望の安息・マーウィン / 悠久の絶望 / テミスの審判 / 射殺す輝き,BP12-102,0.11,0.037037,11.11%
