아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,CSD02b-001,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,CSD02b-003,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,CSD02b-004,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,ECP02-001,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,ECP02-003,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,ECP02-012,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,ECP02-016,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,ECP02-026,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,ECP02-047,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,ECP02-050,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,ECP02-052,3.00,1.0,100.00%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,BP01-135,2.00,0.666667,66.67%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,CP02-023,2.00,0.666667,66.67%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,ECP02-037,1.00,0.333333,33.33%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,CP02-069,0.67,0.222222,66.67%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,CSD02b-002,0.67,0.222222,33.33%
1,〔Triad Primus〕渋谷凛 / 〔ソング・フォー・ライフ〕北条加蓮 / 岡崎泰葉 / 〔光を捕まえて〕アナスタシア / 〔朱華色の夢〕藤原肇,ECP02-015,0.67,0.222222,33.33%
