아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-073,3.00,1.0,100.00%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-076,3.00,1.0,100.00%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-077,3.00,1.0,100.00%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-081,3.00,1.0,100.00%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-083,3.00,1.0,100.00%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-084,3.00,1.0,100.00%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-118,3.00,1.0,100.00%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-019,2.00,0.666667,66.67%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-058,2.00,0.666667,66.67%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-079,2.00,0.666667,66.67%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-113,2.00,0.666667,66.67%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-021,1.67,0.555556,66.67%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-003,1.00,0.333333,33.33%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-018,1.00,0.333333,33.33%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-057,1.00,0.333333,33.33%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-059,1.00,0.333333,33.33%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-063,1.00,0.333333,33.33%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-069,1.00,0.333333,33.33%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-075,1.00,0.333333,33.33%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-095,1.00,0.333333,33.33%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-111,0.67,0.222222,33.33%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-026,0.33,0.111111,33.33%
4,イリヤ / ヴァイオレット / シノブ / ヨリ / アカリ,CP04-094,0.33,0.111111,33.33%
