아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-019,3.00,1.0,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-091,3.00,1.0,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-093,3.00,1.0,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-099,3.00,1.0,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-102,3.00,1.0,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-108,3.00,1.0,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-008,2.50,0.833333,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-036,2.50,0.833333,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-021,2.00,0.666667,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-005,1.50,0.5,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-105,1.50,0.5,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-107,1.50,0.5,100.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-001,1.50,0.5,50.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-055,1.50,0.5,50.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-072,1.50,0.5,50.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-098,1.50,0.5,50.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-103,1.50,0.5,50.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-106,1.50,0.5,50.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-095,1.00,0.333333,50.00%
5,ペコリーヌ / サレン / ノゾミ / チカ / キャプチャーストリング,CP04-070,0.50,0.166667,50.00%
