아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,CP01-016,3.00,1.0,100.00%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,CP01-031,3.00,1.0,100.00%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,CP01-080,3.00,1.0,100.00%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-010,3.00,1.0,100.00%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-028,3.00,1.0,100.00%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-049,3.00,1.0,100.00%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,CP01-068,2.33,0.777778,100.00%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,CP01-052,2.00,0.666667,66.67%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,CP01-073,2.00,0.666667,66.67%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-019,2.00,0.666667,66.67%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-036,2.00,0.666667,66.67%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-046,2.00,0.666667,66.67%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-030,1.67,0.555556,66.67%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-052,1.67,0.555556,66.67%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,CP01-070,1.33,0.444444,66.67%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-056,1.33,0.444444,66.67%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,CP01-034,1.00,0.333333,33.33%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-008,1.00,0.333333,33.33%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-032,1.00,0.333333,33.33%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-003,0.67,0.222222,33.33%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-031,0.67,0.222222,33.33%
1,ナリタブライアン / おどれ・さわげ・フェスれ！ / 紡がれてゆく想い / ジェンティルドンナ / ネオユニヴァース,ECP01-057,0.67,0.222222,33.33%
