아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP01-159,3.00,1.0,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP03-117,3.00,1.0,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP09-106,3.00,1.0,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP09-117,3.00,1.0,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP10-114,3.00,1.0,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP14-108,3.00,1.0,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP14-110,3.00,1.0,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP16-117,3.00,1.0,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP16-111,2.89,0.962963,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,CP03-030,2.78,0.925926,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP09-020,2.67,0.888889,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP11-018,1.67,0.555556,55.56%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP11-SP01,1.11,0.37037,44.44%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP07-034,1.00,0.333333,100.00%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP03-109,1.00,0.333333,55.56%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP11-024,0.89,0.296296,88.89%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP10-121,0.78,0.259259,33.33%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP01-152,0.44,0.148148,22.22%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP18-026,0.33,0.111111,11.11%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP01-162,0.22,0.074074,22.22%
2,ベルエンジェル / 反転する翼 / 天界の尖兵 / 天使の泉 / フォーリンショット,BP17-115,0.22,0.074074,22.22%
