아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-057,2.80,0.933333,93.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-055,2.73,0.911111,93.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-058,2.60,0.866667,86.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-062,2.60,0.866667,86.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-115,2.60,0.866667,86.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-063,2.53,0.844444,86.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-112,2.33,0.777778,93.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-003,2.33,0.777778,86.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-059,2.00,0.666667,86.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-019,2.00,0.666667,66.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-066,1.60,0.533333,86.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-091,1.60,0.533333,60.00%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-118,1.33,0.444444,46.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-065,1.27,0.422222,80.00%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-094,1.00,0.333333,46.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-001,1.00,0.333333,33.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-079,0.93,0.311111,33.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-007,0.73,0.244444,26.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-113,0.67,0.222222,26.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-105,0.47,0.155556,20.00%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-016,0.40,0.133333,13.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-041,0.40,0.133333,13.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-075,0.40,0.133333,13.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-090,0.40,0.133333,13.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-071,0.33,0.111111,33.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-073,0.33,0.111111,26.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-026,0.33,0.111111,20.00%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-089,0.27,0.088889,13.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-107,0.27,0.088889,13.33%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-012,0.20,0.066667,6.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-030,0.20,0.066667,6.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-053,0.20,0.066667,6.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-087,0.20,0.066667,6.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-097,0.20,0.066667,6.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-116,0.20,0.066667,6.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-SP08,0.20,0.066667,6.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,PR-511,0.20,0.066667,6.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-011,0.07,0.022222,6.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-095,0.07,0.022222,6.67%
2,ホマレ / シェフィ / ムイミ / いつか、また会う未来で / クローチェ,CP04-109,0.07,0.022222,6.67%
