아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP05-070,3.00,1.0,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP05-085,3.00,1.0,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP11-069,3.00,1.0,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP11-075,3.00,1.0,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP15-079,3.00,1.0,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP15-113,3.00,1.0,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP16-075,3.00,1.0,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP16-118,3.00,1.0,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP01-116,2.00,0.666667,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP02-073,2.00,0.666667,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP06-073,2.00,0.666667,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP10-109,2.00,0.666667,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP12-074,2.00,0.666667,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP15-083,2.00,0.666667,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,CP02-075,2.00,0.666667,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP01-115,1.00,0.333333,100.00%
6,沈黙の絶傑・ルルナイ / 轟 / カオスルーラー・アイシィレンドリング / デッドペナルティ / テラーバンケット・ギンセツ,BP02-112,1.00,0.333333,100.00%
