직업,덱코드,대회코드,아키타입ID,아키타입명(대표카드 top5)
ロイヤル,5N1UW,1499885,4,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員
ロイヤル,4R4MQ,1499885,3,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛
ロイヤル,4KPL8,1495140,6,光の道筋 / 王たる光・ベイリオン / 輝ける剣撃 / ハルバードウルフ / ワンダーコック
ロイヤル,742J2,1497462,1,音速の機構・ララミア / 月の刃・リオード / 空の指揮官・セリア / アストロウィング・ララミア / カースドクイーン・ナハト・ナハト
ロイヤル,6RWKG,1499797,3,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛
ロイヤル,5LG10,1499797,3,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛
ロイヤル,5Q6JU,1501035,3,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛
ロイヤル,2MF5L,1517333,4,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員
ロイヤル,129C6,1496673,5,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス
ロイヤル,1GFBY,1502080,7,月の刃・リオード / 不滅の英雄・ローラン / ベルエンジェル・リア / ダークセイバー・メリッサ / ペコリーヌ
ロイヤル,5CKDU,1518375,4,全識の六銘伝・シンラ / ワイルドメディエーター・ガンマ / 俯瞰の捜査員 / ギガブレード / 隘路の調査員
