아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-001,3.00,1.0,100.00%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-022,3.00,1.0,100.00%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-075,3.00,1.0,100.00%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-080,3.00,1.0,100.00%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-089,3.00,1.0,100.00%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-118,3.00,1.0,100.00%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-095,2.83,0.944444,100.00%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-015,2.00,0.666667,100.00%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-004,2.00,0.666667,66.67%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-007,2.00,0.666667,66.67%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-041,2.00,0.666667,66.67%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-016,1.50,0.5,66.67%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-116,1.50,0.5,50.00%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-073,1.17,0.388889,66.67%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-018,1.00,0.333333,50.00%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-057,1.00,0.333333,33.33%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-059,1.00,0.333333,33.33%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,PCS01-026,1.00,0.333333,33.33%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-058,0.83,0.277778,33.33%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-061,0.67,0.222222,33.33%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-113,0.67,0.222222,33.33%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-009,0.33,0.111111,16.67%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-021,0.33,0.111111,16.67%
3,コッコロ / ラビリスタ / ランファ / レイ / エリコ,CP04-031,0.17,0.055556,16.67%
