아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP14-018,3.00,1.0,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP14-022,3.00,1.0,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP14-026,3.00,1.0,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP14-030,3.00,1.0,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP14-034,3.00,1.0,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP14-035,3.00,1.0,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP14-115,3.00,1.0,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP14-118,3.00,1.0,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP16-022,3.00,1.0,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP14-025,2.83,0.944444,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP18-026,2.50,0.833333,100.00%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP05-025,1.67,0.555556,66.67%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,ECP01-010,1.33,0.444444,66.67%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP16-117,1.00,0.333333,33.33%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,CP04-021,0.83,0.277778,33.33%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP05-018,0.50,0.166667,16.67%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP11-018,0.50,0.166667,16.67%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP15-020,0.50,0.166667,16.67%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP16-118,0.50,0.166667,16.67%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP08-112,0.33,0.111111,16.67%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP11-SP01,0.33,0.111111,16.67%
6,華の大将・タケツミ / 天下の大泥棒・ジエモン / 達人の芸者 / 帳場ガエル / 盗賊の乱飛,BP11-031,0.17,0.055556,16.67%
