아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP07-092,3.00,1.0,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP07-094,3.00,1.0,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP07-101,3.00,1.0,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP07-116,3.00,1.0,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP12-086,3.00,1.0,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP12-091,3.00,1.0,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP17-098,3.00,1.0,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP17-106,3.00,1.0,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP07-086,2.73,0.909091,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP17-099,2.64,0.878788,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP07-097,2.45,0.818182,90.91%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP12-096,2.36,0.787879,90.91%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP17-113,1.45,0.484848,63.64%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP12-089,1.36,0.454545,100.00%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP17-107,1.36,0.454545,81.82%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP17-100,0.91,0.30303,36.36%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP12-104,0.45,0.151515,18.18%
1,機構の解放 / マシンファルコン / セイント・コア / メカニカルガンナー / 極炎のドラグーン・ローラ,BP12-099,0.27,0.090909,9.09%
