아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP03-115,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-070,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-072,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-074,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-077,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-081,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-085,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-087,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-115,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-118,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP16-075,3.00,1.0,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP11-075,2.00,0.666667,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-082,2.00,0.666667,100.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP07-076,1.50,0.5,50.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-080,1.00,0.333333,50.00%
5,ハンプティダンプティ / 憧れの飛躍・イツルギ / デモンズグリード・パラセリゼ / 因果の迷い子・アンサージュ / 底無しの契約,BP14-084,0.50,0.166667,50.00%
