아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP05-018,3.00,1.0,100.00%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP05-033,3.00,1.0,100.00%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP05-034,3.00,1.0,100.00%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP06-028,3.00,1.0,100.00%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP15-020,3.00,1.0,100.00%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP15-024,3.00,1.0,100.00%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP15-026,3.00,1.0,100.00%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP15-035,3.00,1.0,100.00%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP15-113,3.00,1.0,100.00%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP10-031,2.86,0.952381,100.00%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP11-018,2.14,0.714286,71.43%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP07-022,2.00,0.666667,71.43%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,CP03-040,2.00,0.666667,71.43%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP18-026,0.71,0.238095,28.57%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP11-024,0.57,0.190476,57.14%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,ECP01-010,0.43,0.142857,28.57%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP08-030,0.43,0.142857,14.29%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP11-SP01,0.43,0.142857,14.29%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP15-028,0.43,0.142857,14.29%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP16-117,0.43,0.142857,14.29%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP05-025,0.29,0.095238,14.29%
4,簒奪の絶傑・オクトリス / 簒奪の蛇剣 / アヴァリティア / 鮮やかな奪取 / 空絶の簒奪・オクトリス,BP08-028,0.29,0.095238,14.29%
