아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP15-004,3.00,1.0,100.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-001,3.00,1.0,100.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-003,3.00,1.0,100.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-005,3.00,1.0,100.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-117,3.00,1.0,100.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-120,3.00,1.0,100.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-013,2.90,0.966667,100.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP02-110,2.70,0.9,90.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-126,2.50,0.833333,100.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-123,2.30,0.766667,100.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-009,2.20,0.733333,80.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-014,2.00,0.666667,100.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,EBD01-007,1.90,0.633333,90.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP09-112,1.80,0.6,70.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-008,1.00,0.333333,80.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-116,0.60,0.2,60.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP18-119,0.60,0.2,30.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP01-015,0.60,0.2,20.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP05-017,0.50,0.166667,20.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP13-110,0.20,0.066667,10.00%
2,凍土の女王・ピアシィ / 浄樹の六銘伝・ロロ・ロニエ / 樹正の木鐸・キョウ / 樹権の剪定者 / 魔汚区役所職員・災藤,BP15-113,0.20,0.066667,10.00%
