아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP06-084,3.00,1.0,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP07-069,3.00,1.0,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP07-075,3.00,1.0,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP07-076,3.00,1.0,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP07-116,3.00,1.0,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP12-079,3.00,1.0,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP12-082,3.00,1.0,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP17-076,3.00,1.0,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP17-083,3.00,1.0,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP17-113,3.00,1.0,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP17-080,2.92,0.974359,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP12-075,1.77,0.589744,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP17-079,1.77,0.589744,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP11-075,1.23,0.410256,69.23%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP07-072,1.00,0.333333,100.00%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP12-103,0.54,0.179487,30.77%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP01-116,0.23,0.076923,15.38%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP07-081,0.15,0.051282,7.69%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP12-069,0.15,0.051282,7.69%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP12-104,0.15,0.051282,7.69%
2,座敷童 / 真紅の抗戦者・モノ / ファースト・ワン / 禁絶の腕・ニコラ / メカニカルガンナー,BP12-083,0.08,0.025641,7.69%
