아키타입ID,아키타입명(대표카드 top5),カード名,枚数,価値,採用デッキ%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP04-010,3.00,1.0,100.00%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP10-005,3.00,1.0,100.00%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP11-003,3.00,1.0,100.00%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP17-001,3.00,1.0,100.00%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,ECP02-004,3.00,1.0,100.00%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP05-109,2.96,0.987654,100.00%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP18-019,2.96,0.987654,100.00%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,SP01-045,2.76,0.919753,94.44%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP01-015,2.72,0.907407,96.30%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP18-004,2.69,0.895062,98.15%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP16-009,2.24,0.746914,90.74%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,CP02-006,2.04,0.679012,100.00%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,CP04-001,1.98,0.660494,87.04%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP15-004,1.39,0.462963,70.37%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP16-007,1.30,0.432099,96.30%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP18-007,0.85,0.283951,44.44%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP16-118,0.69,0.228395,29.63%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP05-014,0.09,0.030864,3.70%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,CP02-011,0.07,0.024691,7.41%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP18-017,0.07,0.024691,3.70%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,CP04-013,0.06,0.018519,1.85%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,EBD01-007,0.04,0.012346,3.70%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP13-001,0.04,0.012346,1.85%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP11-105,0.02,0.006173,1.85%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP13-008,0.02,0.006173,1.85%
1,小さな勇士・スクナ / マドロスエルフ / 優美な猫姉妹・シャム＆シャマ / 深緑の弓使い・アリサ / 〔渚の花嫁〕新田美波,BP16-117,0.02,0.006173,1.85%
